Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hour,Arrival_min,Duration_hrs,Dep_Time_hour,Dep_Time_min
IndiGo,Delhi,Cochin,1,No info,5894.0,27,6,2019,21,21,10,10,35
SpiceJet,Kolkata,Banglore,1,No info,4649.0,21,5,2019,20,20,5,15,5
Air India,Kolkata,Banglore,0,No info,6245.0,18,5,2019,16,16,2,14,15
Jet Airways,Banglore,New Delhi,1,No info,19225.0,6,3,2019,13,13,6,7,0
Jet Airways,Delhi,Cochin,1,No info,14924.0,3,6,2019,19,19,11,7,5
Multiple carriers,Delhi,Cochin,1,No info,9646.0,21,5,2019,18,18,11,7,5
Air India,Banglore,New Delhi,1,No info,8714.0,15,3,2019,15,15,8,6,45
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373.0,18,5,2019,19,19,22,20,55
Air Asia,Banglore,Delhi,0,No info,3383.0,6,5,2019,13,13,2,11,10
IndiGo,Banglore,Delhi,0,No info,3943.0,27,5,2019,6,6,2,4,0
Air India,Chennai,Kolkata,0,No info,4667.0,3,5,2019,13,13,2,11,40
Air India,Kolkata,Banglore,1,No info,6117.0,15,5,2019,11,11,16,19,0
Jet Airways,Delhi,Cochin,0,In-flight meal not included,7202.0,9,3,2019,14,14,3,11,0
Jet Airways,Kolkata,Banglore,1,No info,12121.0,1,5,2019,10,10,25,9,35
IndiGo,Banglore,New Delhi,0,No info,4377.0,24,3,2019,1,1,2,22,20
IndiGo,Banglore,Delhi,0,No info,3943.0,18,6,2019,0,0,3,21,15
Air Asia,Banglore,Delhi,0,No info,4483.0,3,4,2019,2,2,2,23,55
Jet Airways,Kolkata,Banglore,1,No info,14231.0,24,3,2019,12,12,16,19,45
Air India,Banglore,New Delhi,2,No info,17345.0,1,3,2019,23,23,15,8,50
Vistara,Chennai,Kolkata,0,No info,7414.0,6,3,2019,9,9,2,7,5
Multiple carriers,Delhi,Cochin,1,No info,8073.0,6,5,2019,1,1,6,19,0
Vistara,Mumbai,Hyderabad,1,No info,12395.0,6,3,2019,16,16,25,15,40
Air India,Kolkata,Banglore,1,No info,8366.0,6,6,2019,21,21,12,9,25
Air India,Delhi,Cochin,1,No info,5117.0,3,4,2019,9,9,27,6,5
Multiple carriers,Delhi,Cochin,1,No info,12524.0,3,6,2019,19,19,10,8,45
IndiGo,Delhi,Cochin,1,No info,7191.0,15,5,2019,1,1,10,15,0
Vistara,Chennai,Kolkata,0,No info,3687.0,24,5,2019,9,9,2,7,5
IndiGo,Delhi,Cochin,1,No info,5894.0,24,6,2019,21,21,10,10,35
Vistara,Banglore,Delhi,0,No info,5403.0,24,4,2019,12,12,2,9,45
Air India,Mumbai,Hyderabad,0,No info,3625.0,6,5,2019,15,15,1,13,55
Air India,Delhi,Cochin,2,No info,10861.0,21,5,2019,19,19,13,5,55
IndiGo,Chennai,Kolkata,0,No info,6297.0,12,3,2019,15,15,2,13,20
Jet Airways,Mumbai,Hyderabad,0,No info,5678.0,1,6,2019,8,8,1,7,5
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,9134.0,9,3,2019,8,8,26,5,45
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,10791.0,24,6,2019,19,19,7,11,40
IndiGo,Delhi,Cochin,1,No info,6893.0,21,3,2019,10,10,5,5,5
GoAir,Banglore,Delhi,0,No info,3898.0,3,4,2019,14,14,2,11,40
IndiGo,Mumbai,Hyderabad,0,No info,4049.0,3,4,2019,7,7,1,6,25
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,15,6,2019,12,12,19,17,30
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3332.0,21,3,2019,10,10,2,8,20
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,9,6,2019,12,12,14,21,10
Jet Airways,Kolkata,Banglore,1,No info,13941.0,6,5,2019,4,4,22,6,30
IndiGo,Delhi,Cochin,1,No info,5894.0,27,6,2019,21,21,9,11,25
Multiple carriers,Delhi,Cochin,1,No info,10197.0,18,5,2019,19,19,10,9,0
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,13712.0,6,3,2019,11,11,21,14,5
IndiGo,Delhi,Cochin,1,No info,5636.0,24,6,2019,7,7,5,2,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064.0,1,4,2019,20,20,12,8,25
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10703.0,24,5,2019,14,14,18,20,25
Multiple carriers,Delhi,Cochin,1,No info,9646.0,27,5,2019,22,22,9,13,15
Multiple carriers,Delhi,Cochin,1,No info,17057.0,6,3,2019,13,13,11,2,15
Jet Airways,Banglore,New Delhi,1,No info,13817.0,12,3,2019,10,10,17,16,55
Air India,Delhi,Cochin,2,No info,13748.0,6,3,2019,19,19,13,5,55
Air India,Kolkata,Banglore,0,No info,4880.0,21,4,2019,23,23,2,20,45
IndiGo,Chennai,Kolkata,0,No info,3540.0,21,6,2019,7,7,2,5,15
SpiceJet,Banglore,Delhi,0,No check-in baggage included,3257.0,15,5,2019,8,8,2,5,55
Jet Airways,Banglore,Delhi,0,In-flight meal not included,6478.0,3,6,2019,22,22,3,19,50
Jet Airways,Mumbai,Hyderabad,0,No info,8040.0,18,6,2019,8,8,1,7,5
Jet Airways,Delhi,Cochin,2,No info,14300.0,12,6,2019,12,12,16,20,0
Jet Airways,Kolkata,Banglore,1,No info,14781.0,15,5,2019,20,20,12,8,25
Jet Airways,Kolkata,Banglore,1,No info,14939.0,9,6,2019,8,8,12,20,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,24,6,2019,4,4,7,20,55
Air India,Kolkata,Banglore,1,No info,6528.0,12,5,2019,14,14,24,14,35
Air India,Banglore,Delhi,0,No info,6121.0,1,5,2019,8,8,2,6,10
Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029.0,18,5,2019,4,4,8,19,30
Multiple carriers,Delhi,Cochin,1,No info,11421.0,27,3,2019,18,18,7,11,40
Multiple carriers,Delhi,Cochin,1,No info,7574.0,27,3,2019,19,19,14,4,45
Air India,Delhi,Cochin,2,No info,11596.0,9,5,2019,19,19,30,12,55
Jet Airways,Delhi,Cochin,2,No info,15129.0,24,5,2019,19,19,19,23,5
Jet Airways,Banglore,New Delhi,1,No info,13555.0,18,3,2019,5,5,15,14,5
IndiGo,Banglore,Delhi,0,No info,5780.0,12,4,2019,21,21,2,18,55
Vistara,Kolkata,Banglore,1,No info,9397.0,12,5,2019,9,9,12,20,20
Jet Airways,Delhi,Cochin,1,No info,17024.0,6,3,2019,4,4,10,18,15
GoAir,Delhi,Cochin,1,No info,5281.0,27,6,2019,12,12,5,7,0
Multiple carriers,Delhi,Cochin,1,No info,10348.0,18,5,2019,22,22,15,7,5
Air India,Delhi,Cochin,1,No info,12677.0,6,3,2019,9,9,16,17,20
Multiple carriers,Delhi,Cochin,1,No info,15147.0,3,3,2019,1,1,10,15,25
Vistara,Banglore,Delhi,0,No info,4668.0,12,6,2019,9,9,2,7,0
Jet Airways,Delhi,Cochin,1,No info,15554.0,9,5,2019,19,19,11,7,5
SpiceJet,Banglore,Delhi,0,No info,3971.0,9,4,2019,8,8,2,5,55
Air India,Mumbai,Hyderabad,0,No info,3100.0,3,5,2019,16,16,1,15,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663.0,6,5,2019,10,10,14,20,0
Air India,Delhi,Cochin,1,No info,27430.0,1,3,2019,19,19,20,23,0
IndiGo,Chennai,Kolkata,0,No info,3540.0,12,5,2019,7,7,2,5,15
Air India,Kolkata,Banglore,2,No info,10676.0,21,5,2019,11,11,23,12,0
Jet Airways,Kolkata,Banglore,1,No info,13044.0,12,6,2019,8,8,18,14,5
Jet Airways,Kolkata,Banglore,1,No info,14388.0,6,5,2019,12,12,16,20,0
IndiGo,Banglore,Delhi,0,No info,3943.0,24,6,2019,6,6,2,4,0
IndiGo,Chennai,Kolkata,0,No info,3597.0,3,6,2019,17,17,2,14,45
Air India,Banglore,New Delhi,1,No info,5932.0,21,3,2019,19,19,8,11,50
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,15,6,2019,4,4,16,11,30
Vistara,Delhi,Cochin,0,No info,6216.0,12,5,2019,17,17,3,14,40
IndiGo,Kolkata,Banglore,0,No info,4804.0,15,6,2019,23,23,2,20,25
Multiple carriers,Delhi,Cochin,1,No info,14067.0,21,5,2019,1,1,14,11,30
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030.0,24,5,2019,8,8,2,6,0
Jet Airways,Delhi,Cochin,1,No info,17024.0,3,3,2019,18,18,10,8,0
Multiple carriers,Delhi,Cochin,1,No info,13017.0,9,4,2019,1,1,8,17,30
GoAir,Kolkata,Banglore,1,No info,6686.0,6,6,2019,7,7,8,23,30
IndiGo,Delhi,Cochin,1,No info,5636.0,15,6,2019,7,7,5,2,0
IndiGo,Delhi,Cochin,1,No info,6442.0,9,6,2019,16,16,8,7,35
Multiple carriers,Delhi,Cochin,1,No info,9486.0,21,5,2019,0,0,11,13,5
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,21,5,2019,23,23,27,20,0
Jet Airways,Delhi,Cochin,2,In-flight meal not included,15318.0,3,6,2019,4,4,8,20,0
Air India,Delhi,Cochin,1,No info,5117.0,3,4,2019,9,9,20,12,30
IndiGo,Delhi,Cochin,1,No info,6147.0,24,6,2019,20,20,4,15,10
Multiple carriers,Delhi,Cochin,1,No info,7005.0,9,6,2019,21,21,8,12,50
SpiceJet,Kolkata,Banglore,0,No info,3873.0,3,4,2019,0,0,2,22,20
GoAir,Banglore,Delhi,0,No info,3898.0,27,6,2019,14,14,2,11,40
Jet Airways,Kolkata,Banglore,1,No info,14781.0,12,5,2019,20,20,12,8,25
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586.0,24,5,2019,8,8,12,20,0
Air India,Kolkata,Banglore,2,No info,10697.0,9,5,2019,7,7,23,8,20
Jet Airways,Delhi,Cochin,2,No info,14300.0,27,6,2019,12,12,16,20,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,12,5,2019,18,18,25,16,30
Jet Airways,Delhi,Cochin,1,No info,17024.0,6,3,2019,4,4,26,2,15
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314.0,1,5,2019,14,14,28,9,35
Air India,Kolkata,Banglore,1,No info,7662.0,9,6,2019,13,13,25,12,0
IndiGo,Delhi,Cochin,1,No info,6442.0,9,5,2019,16,16,9,6,50
SpiceJet,Delhi,Cochin,1,No info,5264.0,12,6,2019,13,13,4,8,45
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898.0,27,5,2019,4,4,15,13,0
Air India,Mumbai,Hyderabad,0,No info,6092.0,3,3,2019,15,15,1,13,55
SpiceJet,Banglore,Delhi,0,No info,3311.0,21,5,2019,8,8,2,5,55
Jet Airways,Delhi,Cochin,1,In-flight meal not included,6540.0,27,3,2019,4,4,9,19,15
IndiGo,Banglore,Delhi,0,No info,3419.0,27,5,2019,4,4,2,1,30
Jet Airways,Delhi,Cochin,1,In-flight meal not included,5177.0,3,4,2019,12,12,22,14,0
Air India,Delhi,Cochin,0,No info,8246.0,18,4,2019,21,21,3,18,5
Jet Airways,Kolkata,Banglore,1,No info,14676.0,9,6,2019,21,21,11,9,35
Multiple carriers,Delhi,Cochin,1,No info,13587.0,27,6,2019,21,21,9,11,30
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663.0,6,5,2019,9,9,12,21,10
Jet Airways,Kolkata,Banglore,1,No info,13044.0,12,6,2019,10,10,17,16,30
IndiGo,Delhi,Cochin,1,No info,5073.0,3,4,2019,1,1,5,20,25
Vistara,Kolkata,Banglore,1,No info,9345.0,21,5,2019,18,18,25,17,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663.0,6,5,2019,10,10,20,14,5
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,1,6,2019,4,4,18,10,0
Jet Airways,Mumbai,Hyderabad,0,No info,5678.0,27,3,2019,21,21,1,19,35
Multiple carriers,Delhi,Cochin,1,No info,13727.0,15,5,2019,1,1,9,16,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663.0,6,5,2019,12,12,16,20,0
IndiGo,Chennai,Kolkata,0,No info,3858.0,12,5,2019,17,17,2,14,45
SpiceJet,Delhi,Cochin,1,No info,4812.0,24,6,2019,13,13,4,8,45
IndiGo,Delhi,Cochin,1,No info,5775.0,27,6,2019,3,3,5,21,50
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10539.0,6,6,2019,9,9,24,9,35
IndiGo,Kolkata,Banglore,0,No info,4804.0,3,6,2019,18,18,2,15,30
Air Asia,Banglore,Delhi,0,No info,3383.0,12,6,2019,13,13,2,11,10
IndiGo,Banglore,New Delhi,1,No info,8738.0,3,3,2019,17,17,4,12,10
Air India,Delhi,Cochin,1,No info,7165.0,27,3,2019,6,6,25,5,15
IndiGo,Delhi,Cochin,1,No info,6412.0,24,6,2019,22,22,6,16,10
Jet Airways,Banglore,Delhi,0,No info,8016.0,27,6,2019,22,22,3,18,55
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087.0,12,3,2019,15,15,18,20,35
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543.0,27,6,2019,12,12,2,9,45
Jet Airways,Kolkata,Banglore,1,No info,12471.0,12,6,2019,4,4,12,16,30
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,24,6,2019,4,4,19,9,0
Air India,Banglore,New Delhi,0,No info,4441.0,18,3,2019,16,16,2,13,20
Multiple carriers,Delhi,Cochin,1,No info,12537.0,27,3,2019,15,15,8,7,5
GoAir,Kolkata,Banglore,1,No info,10091.0,24,3,2019,7,7,9,22,25
Air India,Banglore,Delhi,0,No info,6961.0,3,6,2019,23,23,2,21,5
IndiGo,Delhi,Cochin,0,No info,5013.0,24,4,2019,8,8,3,5,35
Air India,Delhi,Cochin,0,No info,6934.0,18,5,2019,8,8,2,5,10
Multiple carriers,Delhi,Cochin,1,No info,10877.0,3,6,2019,19,19,12,6,40
Jet Airways,Banglore,Delhi,0,No info,7229.0,18,4,2019,18,18,2,15,15
IndiGo,Delhi,Cochin,1,No info,7048.0,27,3,2019,1,1,9,16,0
Vistara,Banglore,Delhi,0,No info,4878.0,27,6,2019,19,19,2,17,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,21,5,2019,23,23,9,14,5
IndiGo,Banglore,Delhi,0,No info,3943.0,12,5,2019,3,3,2,0,30
SpiceJet,Delhi,Cochin,1,No info,5583.0,6,6,2019,11,11,5,6,5
Multiple carriers,Delhi,Cochin,1,No info,9646.0,6,6,2019,16,16,9,7,5
Multiple carriers,Delhi,Cochin,1,No info,7677.0,3,6,2019,19,19,10,8,30
IndiGo,Delhi,Cochin,1,No info,6842.0,1,6,2019,10,10,4,5,10
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995.0,24,6,2019,10,10,1,8,45
Vistara,Kolkata,Banglore,1,No info,9555.0,9,6,2019,18,18,11,7,10
IndiGo,Banglore,Delhi,0,No info,4077.0,1,6,2019,4,4,2,1,30
Jet Airways,Banglore,Delhi,0,No info,7229.0,12,5,2019,18,18,2,15,15
Multiple carriers,Delhi,Cochin,1,No info,12192.0,9,6,2019,19,19,10,9,0
Air India,Banglore,Delhi,0,No info,5911.0,12,4,2019,12,12,2,10,0
Air India,Delhi,Cochin,1,No info,8372.0,12,6,2019,19,19,10,9,0
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995.0,18,3,2019,8,8,1,7,10
Multiple carriers,Delhi,Cochin,1,No info,14323.0,9,5,2019,19,19,9,10,0
Air India,Delhi,Cochin,2,No info,13591.0,6,6,2019,19,19,28,14,25
IndiGo,Banglore,Delhi,0,No info,3943.0,27,4,2019,2,2,2,23,30
SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,1965.0,21,5,2019,7,7,1,5,45
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995.0,27,5,2019,11,11,1,10,20
Air India,Kolkata,Banglore,1,No info,14641.0,24,3,2019,18,18,25,16,50
Air India,Kolkata,Banglore,0,No info,4460.0,12,4,2019,23,23,2,20,45
Air India,Delhi,Cochin,1,No info,10191.0,18,5,2019,19,19,6,13,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,13843.0,9,3,2019,19,19,17,2,15
IndiGo,Delhi,Cochin,1,No info,6349.0,1,5,2019,3,3,5,21,50
Air Asia,Kolkata,Banglore,0,No info,4409.0,1,5,2019,12,12,2,10,20
Jet Airways,Delhi,Cochin,1,No info,17024.0,6,3,2019,19,19,25,18,15
Multiple carriers,Delhi,Cochin,1,No info,13727.0,18,5,2019,21,21,13,7,5
IndiGo,Banglore,New Delhi,0,No info,8855.0,15,3,2019,21,21,2,18,25
Multiple carriers,Delhi,Cochin,1,No info,12524.0,24,6,2019,19,19,10,8,45
Jet Airways,Banglore,New Delhi,1,No info,13555.0,18,3,2019,20,20,8,11,40
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,6,6,2019,12,12,5,6,30
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543.0,12,6,2019,12,12,2,9,45
Vistara,Chennai,Kolkata,0,No info,4842.0,18,3,2019,9,9,2,7,5
IndiGo,Banglore,Delhi,0,No info,3943.0,24,4,2019,2,2,2,23,30
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10577.0,9,6,2019,4,4,9,19,15
IndiGo,Delhi,Cochin,1,No info,6979.0,15,5,2019,21,21,10,10,35
Vistara,Chennai,Kolkata,0,No info,11982.0,27,6,2019,20,20,2,17,45
SpiceJet,Delhi,Cochin,1,No info,5264.0,6,6,2019,13,13,4,8,45
Vistara,Delhi,Cochin,0,No info,8001.0,3,3,2019,9,9,3,6,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,24,5,2019,19,19,27,16,30
Multiple carriers,Delhi,Cochin,1,No info,6601.0,27,3,2019,22,22,12,9,45
Air India,Delhi,Cochin,1,No info,6587.0,21,3,2019,19,19,24,19,0
SpiceJet,Mumbai,Hyderabad,0,No info,3173.0,21,3,2019,14,14,1,13,10
Air India,Banglore,Delhi,0,No info,5228.0,9,5,2019,12,12,2,10,0
Jet Airways,Banglore,Delhi,0,In-flight meal not included,5769.0,21,6,2019,10,10,3,7,10
Jet Airways,Delhi,Cochin,1,No info,14714.0,6,6,2019,19,19,11,8,0
IndiGo,Banglore,Delhi,0,No info,3359.0,3,6,2019,1,1,2,22,10
IndiGo,Kolkata,Banglore,0,No info,4462.0,18,3,2019,12,12,2,9,35
IndiGo,Delhi,Cochin,1,No info,6171.0,9,3,2019,16,16,11,4,55
Air India,Kolkata,Banglore,2,No info,12303.0,21,5,2019,20,20,14,5,50
Multiple carriers,Delhi,Cochin,1,No info,7695.0,21,3,2019,1,1,13,11,40
IndiGo,Delhi,Cochin,1,No info,5684.0,24,6,2019,1,1,14,11,25
Air India,Kolkata,Banglore,1,No info,8366.0,12,6,2019,7,7,15,16,50
Air India,Chennai,Kolkata,0,No info,19630.0,1,3,2019,13,13,2,11,40
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,13502.0,6,3,2019,5,5,15,14,5
Jet Airways,Kolkata,Banglore,1,No info,14781.0,1,5,2019,10,10,12,21,10
Multiple carriers,Delhi,Cochin,1,No info,6513.0,12,6,2019,16,16,9,7,10
Air India,Delhi,Cochin,1,No info,9929.0,1,6,2019,19,19,12,7,0
Multiple carriers,Delhi,Cochin,2,No info,18275.0,6,6,2019,1,1,7,17,50
Air India,Delhi,Cochin,1,No info,4487.0,9,4,2019,9,9,27,6,5
IndiGo,Mumbai,Hyderabad,0,No info,2754.0,15,3,2019,22,22,1,21,20
Air India,Mumbai,Hyderabad,0,No info,2575.0,27,3,2019,7,7,1,6,20
SpiceJet,Kolkata,Banglore,1,No info,8224.0,12,6,2019,21,21,5,15,55
Air India,Delhi,Cochin,1,No info,8991.0,9,3,2019,8,8,11,20,30
IndiGo,Delhi,Cochin,0,No info,5000.0,24,6,2019,8,8,3,5,35
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8529.0,12,6,2019,19,19,24,18,55
Air India,Delhi,Cochin,1,No info,14042.0,3,3,2019,9,9,27,6,5
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030.0,24,5,2019,14,14,2,11,10
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,6,6,2019,12,12,17,18,55
IndiGo,Kolkata,Banglore,0,No info,4804.0,6,5,2019,0,0,2,21,25
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,7308.0,27,5,2019,1,1,8,17,30
IndiGo,Banglore,Delhi,0,No info,4823.0,12,5,2019,19,19,3,16,55
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,24,6,2019,12,12,27,9,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898.0,27,5,2019,4,4,7,20,55
Air India,Banglore,New Delhi,2,No info,12778.0,12,3,2019,16,16,22,17,25
IndiGo,Delhi,Cochin,1,No info,14871.0,3,3,2019,13,13,8,4,45
Air India,Delhi,Cochin,2,No info,8708.0,21,3,2019,19,19,29,13,20
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,6,6,2019,18,18,22,20,0
SpiceJet,Mumbai,Hyderabad,0,No info,4129.0,6,3,2019,7,7,1,5,45
IndiGo,Kolkata,Banglore,0,No info,4804.0,18,5,2019,0,0,2,21,25
Jet Airways,Banglore,Delhi,0,No info,7229.0,6,5,2019,11,11,3,8,20
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7832.0,21,3,2019,19,19,12,7,0
SpiceJet,Chennai,Kolkata,0,No info,3859.0,18,3,2019,12,12,2,9,30
Vistara,Banglore,Delhi,0,No info,4878.0,9,5,2019,19,19,2,17,0
IndiGo,Mumbai,Hyderabad,0,No info,2754.0,3,5,2019,4,4,1,2,35
Vistara,Banglore,Delhi,0,No info,4668.0,27,6,2019,9,9,2,7,0
Air Asia,Kolkata,Banglore,0,No info,5216.0,12,5,2019,12,12,2,10,20
IndiGo,Delhi,Cochin,2,No info,8146.0,9,3,2019,21,21,14,6,40
Jet Airways,Delhi,Cochin,1,No info,12242.0,27,3,2019,4,4,15,13,0
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,9134.0,15,3,2019,15,15,7,8,0
Air India,Delhi,Cochin,2,No info,10939.0,6,6,2019,9,9,20,13,15
Air India,Delhi,Cochin,2,No info,11753.0,6,6,2019,7,7,20,10,55
SpiceJet,Kolkata,Banglore,0,No info,4174.0,24,4,2019,19,19,2,17,10
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844.0,21,5,2019,19,19,23,20,0
Jet Airways,Delhi,Cochin,1,No info,14714.0,3,6,2019,19,19,27,16,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9899.0,12,6,2019,12,12,5,6,30
IndiGo,Delhi,Cochin,1,No info,14871.0,3,3,2019,21,21,11,9,10
IndiGo,Chennai,Kolkata,0,No info,7295.0,6,3,2019,15,15,2,13,20
Air India,Delhi,Cochin,2,No info,13465.0,6,6,2019,19,19,24,18,45
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543.0,21,5,2019,20,20,2,17,45
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,1,6,2019,4,4,20,8,0
IndiGo,Kolkata,Banglore,0,No info,4148.0,15,3,2019,17,17,2,15,20
Jet Airways,Banglore,Delhi,0,No info,8016.0,27,6,2019,18,18,2,15,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,9,6,2019,4,4,5,22,50
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841.0,15,6,2019,17,17,2,14,55
Jet Airways,Banglore,New Delhi,1,No info,11507.0,12,3,2019,0,0,14,9,45
Jet Airways,Kolkata,Banglore,1,No info,14781.0,1,5,2019,20,20,12,8,25
Jet Airways,Delhi,Cochin,1,No info,16079.0,27,5,2019,19,19,25,17,30
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898.0,27,5,2019,4,4,5,22,50
SpiceJet,Kolkata,Banglore,1,No info,6197.0,24,3,2019,20,20,5,15,5
Air India,Kolkata,Banglore,1,No info,8996.0,9,6,2019,13,13,4,9,10
IndiGo,Delhi,Cochin,1,No info,6528.0,21,3,2019,22,22,8,14,20
GoAir,Banglore,Delhi,0,No info,4239.0,9,4,2019,23,23,2,20,55
IndiGo,Kolkata,Banglore,0,No info,4148.0,12,3,2019,23,23,2,20,25
SpiceJet,Banglore,Delhi,0,No info,3971.0,24,5,2019,0,0,2,21,10
